id_producto,modelo,categoria,marca,coste_eur,precio_eur,stock,unidades_vendidas,valoracion,garantia_meses,fecha_alta,descatalogado
P0142,Dell SOB-640,Sobremesa,Dell ,1419.56,"1945,31 €",88,191,4.3,36,2022-01-26,true
P0128,Asus SOB-785,Sobremesa ,Asus,2042.81,"3104,15 €",29,158,4.9,36,2024-10-07,0
P0137,Samsung MON-123,MONITOR,Samsung,90.32,"119,63",102,387,,24,2022-05-05,false
P0127,Kingston COM-830,COMPONENTE,Kingston,416.23,"634,49 €",101,426,3.3,36,2022-06-18,no
P0057,Corsair PER-927,PERIFERICO,Corsair,115.81,"162,58",116,205,3.5,,2020-08-09,false
P0050,Apple POR-644,portatil,Apple,717.58,"1086,60 €",93,144,2.6,24,2019-01-23,SI
P0189,Asus SOB-407,SOBREMESA,Asus,876.48,"1328,14",92,70,4.2,36,2023-12-08,0
P0086,Apple POR-381,Portatil,Apple,58904.99999999999,"687,09 €",115,25,,12,2020-07-22,no
P0023,Intel COM-771,COMPONENTE,Intel,679.71," 853,03€ ",0,468,3.1,12,2019-11-05,no
P0015,MSI SOB-693,Sobremesa,MSI,1451.38,"2046,36",75,42,3.5,36,2019-03-09,No
P0111,HP POR-684, Portátil ,HP,1721.08,"2062,30",27,448,2.8,24,2020-08-05,No
P0178,AMD COM-663, Componente,AMD,670.82,"894,80",60,266,4.4,12,2021-03-11,true
P0196,Kingston COM-865, Componente,Kingston,60.55,"73,55",47,393,4.5,24,2021-12-17,No
P0192,Lenovo POR-874,Portátil,Lenovo,1458.55,"1894,10",47,118,3.0,12,2021-06-21,false
P0140,Acer POR-687,Portátil,Acer,687.99,"839,44 €",10,21,,36,2024-02-27,No
P0153,Lenovo SOB-876,sobremesa,Lenovo,977.29,"1259,04 €",8,189,2.7,12,2019-12-11,false
P0073,BenQ MON-556,MONITOR,BenQ,690.59,"873,80",98,366,,24,2021-04-02,true
P0017,Apple POR-587, Portátil ,Apple,1101.11,"1611,03 €",7,41,3.7,36,2021-02-16,no
P0047,Lenovo POR-383,Portátil,Lenovo,1244.15,"1772,22 €",65,6,3.6,36,2023-12-13,No
P0187,HP POR-293,PORTÁTIL,HP,992.24,"1247,48",98,303,48.0,24,2021-08-09,no
P0125,Dell SOB-770,SOBREMESA,Dell,1614.53,"2444,61 €",N/A,101,3.9,24,2023-07-17,no
P0146,HP POR-873,PORTÁTIL,HP,739.02,"879,18 €",81,207,3.6,12,2019-02-18,0
P0154,MSI SOB-147,Sobremesa,MSI,1759.97," 2205,19€ ",67,263,4.8,36,2019-09-27,No
P0054,HP POR-804, Portátil ,HP,1407.93,"1716,62",106,185,3.0,,2022-06-15,false
P0051,Corsair COM-836,Componente,Corsair ,237.54," 353,88€ ",29,28,4.5,,2024-11-19,false
P0005,Dell POR-666,portatil,Dell,705.79,"848,34 €",82,237,3.1,,2023-02-23,false
P0112,Samsung MON-323,Monitor,Samsung,239.61,"343,62 €",53,67,4.7,36,2022-07-20,no
P0009,Logitech PER-924,Periferico ,Logitech,87.06,"107,59 €",33,204,4.6,12,2020-11-08,true
P0107,LG MON-221, Monitor,LG,117.56," 157,84€ ",10,479,4.1,36,2021-03-07,1
P0143,Lenovo SOB-218,SOBREMESA,Lenovo,868.33,"1143,99",31,378,4.6,24,2022-10-08,0
P0172,Intel COM-585, Componente,Intel ,108.8,"134,95 €",-42,203,4.9,24,2020-10-04,No
P0163,Corsair COM-693,COMPONENTE,Corsair,581.78," 768,89€ ",N/A,215,,12,2022-06-26,No
P0102,Lenovo SOB-878,sobremesa,Lenovo,1735.09,"2502,79",62,266,3.9,36,2023-11-19,SI
P0077,Samsung MON-473,monitor,Samsung,403.92,"573,94",63,14,3.5,36,2024-04-07,No
P0066,HP POR-175,Portatil,HP ,510.28,"634,35 €",108,96,3.7,12,2023-06-01,0
P0031,Kingston COM-930,componente,Kingston ,740.41,"882,65 €",105,33,4.0,24,2019-04-09,0
P0191,AMD COM-790,COMPONENTE,AMD,33.75,"46,52",43,497,2.6,12,2020-09-22,No
P0199,Razer PER-963,PERIFERICO,Razer,34.44,"42,89 €",37,251,3.8,24,2022-10-22,0
P0058,HP POR-686,Portátil,HP ,1090.08,"1351,96",N/A,47,3.9,24,2022-08-16,false
P0008,Dell POR-373,Portatil,Dell,1085.98," 1494,41€ ",-81,39,4.1,36,2019-07-22,0
P0164,HP POR-153,Portátil,HP,857.38,"1295,67",84,194,4.8,12,2024-02-08,0
P0210,Corsair PER-321,Periférico,Corsair,72.1,"96,40",53,34,4.5,12,2021-02-21,0
P0215,Asus POR-701,PORTÁTIL,Asus,1702.76," 2293,15€ ",115,264,4.0,36,2023-05-14,true
P0072,Razer PER-688,periferico,Razer ,144.03,"215,57",115,37,4.3,,2022-07-26,no
P0175,Dell MON-115, Monitor,Dell,347.28," 408,65€ ",desconocido,296,3.1,36,2022-08-27,SI
P0138,Lenovo POR-331,portatil,Lenovo ,1561.22," 2131,97€ ",103,227,2.7,36,2022-09-16,no
P0151,Razer PER-819,PERIFERICO,Razer,4688.0,"55,85 €",95,433,,24,2021-06-12,No
P0068,BenQ MON-627,Monitor,BenQ,605.13," 812,71€ ",40,265,4.6,36,2021-11-09,0
P0016,Acer POR-120,portatil,Acer,1243.32,"1514,66 €",12,149,4.0,36,2022-08-08,no
P0093,Dell MON-366, Monitor,Dell,458.09,"707,23",9,180,,12,2020-02-17,false
P0203,MSI SOB-526,Sobremesa ,MSI,1585.27,"2349,11",113,12,3.1,,2023-08-14,0
P0149,Corsair PER-931,Periférico,Corsair ,179.45,"209,54 €",25,200,3.3,24,2024-11-22,false
P0034,Dell POR-570,Portátil,Dell,769.61,"961,82",21,321,3.5,24,2019-05-25,Sí
P0071,LG MON-563,Monitor,LG,518.85,"728,21",85,490,4.1,36,2021-08-25,No
P0091,Lenovo POR-718,Portatil,Lenovo,704.23,"818,68",-,55,4.1,24,2020-03-16,no
P0133,Microsoft PER-121,Periferico ,Microsoft ,44.1,"58,19",60,276,3.8,12,2023-01-27,no
P0075,BenQ MON-785,monitor,BenQ,654.07,"967,39",28,18,3.4,36,2019-12-19,Sí
P0158,Kingston COM-533,Componente,Kingston,193.22," 268,13€ ",102,481,3.4,36,2021-10-14,true
P0157,AMD COM-168,COMPONENTE,AMD,521.62," 656,27€ ",80,80,4.4,12,2021-03-27,no
P0207,Dell SOB-709,Sobremesa,Dell,1998.51,"2947,20",6,174,3.9,12,2019-03-25,no
P0004,Dell POR-433,PORTÁTIL,Dell,509.14,"616,93 €",56,371,,36,2021-04-25,No
P0099,HP PER-131,Periferico ,HP,134.75,"185,52 €",32,379,5.0,12,2021-12-01,false
P0208,Corsair COM-166,componente,Corsair,177.15,"218,73 €",-,66,2.8,12,2019-12-03,Sí
P0003,Intel COM-783, Componente,Intel,750.04,"1052,06",19,379,3.4,12,2024-09-22,No
P0062,Dell POR-961,PORTÁTIL,Dell,1606.34,"2086,48",99,354,4.0,12,2022-05-14,1
P0122,Razer PER-407,PERIFERICO,Razer ,107.7,"154,86 €",48,294,48.0,24,2020-08-11,0
P0176,Dell MON-673,Monitor,Dell,380.09,"446,28 €",107,400,4.1,36,2024-06-13,0
P0019,Lenovo SOB-652,Sobremesa,Lenovo,595.44,"844,87",14,140,4.1,,2023-04-03,false
P0039,Dell MON-131, Monitor,Dell,607.62," 857,37€ ",24,402,3.8,36,2022-03-20,false
P0098,Intel COM-456,COMPONENTE,Intel ,548.27,"681,23 €",2,423,3.1,36,2020-07-15,0
P0219,Acer POR-774,Portátil,Acer,1597.14,"2474,82 €",96,111,3.2,24,2020-08-16,false
P0116,Dell MON-927,MONITOR,Dell,204.22,"315,61 €",63,71,4.4,36,2024-02-23,no
P0195,BenQ MON-462,Monitor,BenQ,25228.0,"317,79",14,127,2.8,12,2024-12-07,No
P0027,Dell POR-855, Portátil ,Dell,1344.87,"2060,68",62,143,,24,2019-02-18,false
P0171,Asus POR-661,portatil,Asus,1681.81," 2295,48€ ",N/A,312,3.0,24,2023-08-24,no
P0011,Lenovo POR-249,PORTÁTIL,Lenovo ,1425.19,"1902,27",86,80,3.8,36,2019-06-13,false
P0212,HP PER-660,Periférico,HP,63.68,"87,72",-110,124,3.9,12,2021-08-05,No
P0026,Apple POR-370,PORTÁTIL,Apple,1415.8,"2046,67 €",96,412,2.8,12,2019-05-27,no
P0139,MSI SOB-964,Sobremesa,MSI ,1307.52,"1896,04",85,232,3.4,24,2020-08-21,no
P0113,Dell SOB-453,Sobremesa,Dell,690.26," 1053,34€ ",8,443,4.4,12,2022-06-15,false
P0014,Asus MON-488,monitor,Asus ,276.63," 382,22€ ",24,273,4.6,12,2021-09-18,No
P0012,Dell SOB-729,Sobremesa ,Dell,1534.51," 1986,77€ ",36,479,2.8,,2021-11-14,false
P0190,Nvidia COM-850,COMPONENTE,Nvidia,404.06,"534,57 €",31,349,4.4,12,2022-05-20,0
P0148,Kingston COM-837,Componente,Kingston,123.44,"147,65",11,229,,24,2024-10-03,No
P0135,MSI SOB-742,SOBREMESA,MSI ,1036.01," 1517,74€ ",81,416,4.6,36,2021-03-21,No
P0033,Intel COM-582,COMPONENTE,Intel ,544.3,"774,15 €",96,196,3.3,36,2022-10-23,No
P0059,Razer PER-601,Periférico,Razer,144.93,"198,50 €",23,215,4.1,24,2021-10-20,false
P0156,Dell POR-890,Portatil,Dell,1600.4,"2158,25",89,101,2.5,24,2024-04-24,No
P0134,Intel COM-146,componente,Intel,112.82,"162,59 €",-,59,3.3,36,2020-06-06,0
P0065,Logitech PER-375,Periférico,Logitech,88.96,"116,27",39,40,4.4,12,2021-12-05,no
P0200,Kingston COM-748,COMPONENTE,Kingston,670.78,"953,30",N/A,126,3.0,24,2021-12-01,0
P0053,Kingston COM-103,componente,Kingston,197.95," 249,08€ ",11,354,5.0,36,2022-01-17,true
P0197,Asus SOB-209,SOBREMESA,Asus,809.79,"947,63 €",102,433,3.3,12,2022-08-04,No
P0035,Intel COM-388,componente,Intel,755.11,"884,07",48,462,2.7,36,2024-03-27,No
P0079,Logitech PER-207,PERIFERICO,Logitech ,71.42,"102,63",-,403,5.0,24,2020-07-04,0
P0121,Asus SOB-760,SOBREMESA,Asus,1749.31,"2705,70 €",54,265,4.1,12,2020-09-10,No
P0220,Intel COM-848,Componente,Intel,488.29,"686,35",-119,360,4.8,36,2021-07-19,No
P0070,Lenovo POR-106, Portátil ,Lenovo,708.66,"822,00",40,303,3.6,36,2019-08-16,0
P0029,Intel COM-777, Componente,Intel ,124.96,"185,16 €",30,398,3.1,24,2022-12-24,no
P0136,Intel COM-160,COMPONENTE,Intel,806.94,"974,43",58,284,2.7,36,2020-07-08,no
P0132,AMD COM-200,Componente,AMD,90.59," 109,18€ ",117,294,3.2,36,2020-08-13,0
P0144,Samsung MON-681,monitor,Samsung ,434.1,"616,71 €",37,422,2.5,12,2022-11-21,No
P0043,Kingston COM-755,Componente,Kingston ,458.17," 636,78€ ",16,465,,36,2019-06-18,Sí
P0024,Dell POR-229, Portátil ,Dell,1630.66,"2003,39 €",71,140,4.4,12,2021-07-12,No
P0092,Nvidia COM-925,Componente,Nvidia,772.43,"1079,58",0,228,4.4,12,2020-04-07,no
P0166,AMD COM-846, Componente,AMD,194.75,"246,25",37,98,2.7,36,2019-09-15,false
P0088,Samsung MON-487,MONITOR,Samsung,158.36,"236,76",-1,81,3.8,12,2019-04-12,no
P0180,Samsung MON-345,MONITOR,Samsung ,553.93,"793,93",105,418,3.4,12,2023-02-11,no
P0101,HP SOB-680,Sobremesa ,HP,759.18,"1133,91",118,456,3.0,24,2021-08-24,false
P0064,MSI SOB-990,Sobremesa,MSI,694.75,"845,07 €",63,208,5.0,36,2020-11-22,No
P0095,Kingston COM-154,Componente,Kingston,672.56,"858,77 €",14,445,4.0,12,2019-09-19,Sí
P0185,Asus MON-786,MONITOR,Asus,371.17,"438,89 €",85,7,,24,2021-06-16,no
P0032,Apple POR-257,portatil,Apple,673.47,"851,19",110,288,2.8,12,2023-01-06,1
P0094,Lenovo SOB-751,SOBREMESA,Lenovo,971.74,"1147,86 €",49,430,,12,2023-02-18,true
P0046,HP PER-672,PERIFERICO,HP,77.1,"119,09 €",-58,2,4.9,36,2020-11-24,SI
P0109,AMD COM-508,COMPONENTE,AMD,511.02,"607,50",97,422,4.0,24,2022-01-07,0
P0106,HP SOB-521,sobremesa,HP,1756.31,"2638,71 €",11,171,3.0,12,2021-07-02,0
P0150,Acer POR-215,Portatil,Acer ,1123.16,"1513,42 €",117,144,3.5,36,2023-08-13,No
P0030,Razer PER-312,periferico,Razer,76.74,"101,32",49,56,4.7,24,2022-03-08,no
P0110,Lenovo POR-794,portatil,Lenovo,1238.71,"1788,76",desconocido,369,3.4,12,2019-10-01,no
P0123,Corsair PER-897,Periférico,Corsair,87.61," 105,16€ ",99,45,4.2,12,2022-04-01,no
P0205,BenQ MON-466,Monitor,BenQ,545.1,"819,98",35,107,3.8,24,2023-10-07,no
P0105,HP POR-753,Portatil,HP,959.23," 1254,33€ ",92,65,2.9,12,2023-01-26,no
P0061,Lenovo POR-911,Portatil,Lenovo,1586.69,"1859,96",9,140,3.3,24,2020-01-21,No
P0147,HP POR-129,Portátil,HP,937.02,"1098,29",63,178,,36,2022-10-24,0
P0084,LG MON-911,Monitor,LG ,568.13,"752,97",95,430,5.0,24,2020-10-19,no
P0209,Lenovo POR-943,Portatil,Lenovo,1566.79,"2165,45 €",10,387,4.1,24,2024-06-15,false
P0126,Dell SOB-886,Sobremesa ,Dell,976.88,"1504,84",75,259,4.2,24,2022-05-19,Sí
P0167,Apple POR-293, Portátil ,Apple ,1586.91,"2423,77 €",-76,63,4.5,12,2022-12-25,false
P0174,Kingston COM-537,COMPONENTE,Kingston,123.36,"166,42 €",,265,3.8,24,2020-12-03,no
P0083,Lenovo SOB-154,SOBREMESA,Lenovo,1576.19,"2001,37 €",102,120,-3.3,12,2019-01-08,0
P0066,HP POR-175,Portatil,HP ,510.28,"634,35 €",108,96,3.7,12,2023-06-01,0
P0001,Acer POR-561,portatil,Acer,1042.49,"1556,90 €",10,348,2.7,24,2024-09-22,No
P0183,Kingston COM-584,componente,Kingston,303.05,"381,58 €",,65,3.6,36,2020-11-07,No
P0184,Logitech PER-916,periferico,Logitech,9716.0,"136,72 €",111,11,5.0,36,2021-11-23,0
P0089,Asus MON-768,MONITOR,Asus,603.13,"756,41 €",27,161,3.1,36,2021-05-07,No
P0078,Nvidia COM-268, Componente,Nvidia,772.41,"980,63 €",41,354,3.5,24,2022-11-24,0
P0013,LG MON-214, Monitor,LG,68120.0,"995,57",31,358,3.6,36,2020-06-25,1
P0162,Dell POR-685,Portatil,Dell,580.69,"887,83 €",41,99,4.5,24,2020-01-16,false
P0124,Asus SOB-224,SOBREMESA,Asus,1800.67,"2690,66 €",23,375,4.2,12,2024-04-21,Sí
P0042,Samsung MON-786,Monitor,Samsung ,465.86,"567,66 €",11,64,3.9,24,2023-07-20,no
P0114,BenQ MON-598,monitor,BenQ,170.37,"204,49 €",52,91,,36,2019-02-11,0
P0096,Acer POR-906, Portátil ,Acer,1788.9,"2060,10 €",60,462,5.0,12,2021-02-16,No
P0012,Dell SOB-729,Sobremesa ,Dell,1534.51," 1986,77€ ",36,479,2.8,,2021-11-14,false
P0115,AMD COM-972,componente,AMD,250.27," 290,82€ ",45,59,4.8,12,2020-01-13,no
P0076,HP PER-871,Periférico,HP,157.8,"228,14 €",92,196,2.6,36,2019-08-07,no
P0173,Samsung MON-742,Monitor,Samsung,285.65,"403,13 €",20,336,3.6,36,2020-11-05,0
P0002,Apple POR-598,portatil,Apple,950.58,"1445,55",54,390,4.6,,2021-03-03,no
P0182,AMD COM-316,COMPONENTE,AMD,743.88,"927,10 €",53,169,2.9,24,2021-05-20,no
P0097,Apple POR-978,Portátil,Apple,1173.87,"1641,91",21,136,2.6,24,2022-05-18,No
P0213,Intel COM-995,COMPONENTE,Intel,633.38," 899,34€ ",67,341,2.7,36,2021-06-03,no
P0006,Logitech PER-279,Periferico ,Logitech,152.32,"224,20",37,420,3.2,24,2022-02-23,false
P0188,HP POR-257,Portátil,HP,528.23,"808,04 €",23,382,4.6,24,2023-03-20,false
P0179,Acer POR-394,Portátil,Acer,1657.83,"2087,27 €",67,55,4.9,36,2019-05-08,No
P0155,Microsoft PER-174,PERIFERICO,Microsoft,7976.000000000001," 121,20€ ",110,289,2.5,24,2019-11-16,no
P0023,Intel COM-771,COMPONENTE,Intel,679.71," 853,03€ ",0,468,3.1,12,2019-11-05,no
P0020,Corsair COM-956,COMPONENTE,Corsair,62.55,"85,81 €",27,273,4.6,24,2024-04-06,false
P0100,Razer PER-964,Periferico ,Razer ,82.31,"97,75",62,386,3.5,36,2021-02-10,0
P0170,Dell SOB-275,Sobremesa ,Dell ,2085.12," 3212,91€ ",61,20,2.6,,2024-01-05,no
P0022,Intel COM-435,COMPONENTE,Intel,804.99," 1213,42€ ",89,57,3.3,24,2021-08-12,0
P0161,HP PER-616,PERIFERICO,HP,77.16,"107,83",16,20,,36,2022-06-04,false
P0074,Microsoft PER-599,periferico,Microsoft,177.61,"237,29",58,162,3.5,36,2022-02-06,0
P0018,BenQ MON-226,MONITOR,BenQ,292.26,"396,97",32,424,2.6,24,2019-11-15,0
P0204,Dell POR-331,Portatil,Dell ,1617.89,"1880,57",41,420,4.9,24,2021-09-15,SI
P0063,Apple POR-706,Portatil,Apple,1492.34," 1901,82€ ",-93,343,,36,2021-05-01,0
P0028,Acer POR-805, Portátil ,Acer ,1015.8,"1560,77 €",,82,4.8,24,2021-06-18,no
P0048,Samsung MON-852,Monitor,Samsung,650.25,"951,00",36,272,5.0,12,2023-04-22,0
P0080,Samsung MON-428, Monitor,Samsung ,517.54,"718,39",119,30,4.8,24,2021-02-03,No
P0040,Lenovo SOB-941,sobremesa,Lenovo,1949.29," 2344,69€ ",83,476,2.7,,2022-02-15,false
P0217,Samsung MON-969,MONITOR,Samsung ,353.49,"515,28 €",64,366,2.6,12,2022-02-26,false
P0021,Razer PER-236,Periférico,Razer,99.98," 125,21€ ",118,468,2.9,24,2019-12-27,false
P0201,Corsair COM-653,COMPONENTE,Corsair,886.24,"1143,98",42,319,3.7,12,2024-08-12,true
P0003,Intel COM-783, Componente,Intel,750.04,"1052,06",19,379,3.4,12,2024-09-22,No
P0141,Dell POR-950,Portatil,Dell,980.44,"1470,69 €",114,487,4.7,24,2020-06-18,No
P0193,Asus MON-178,MONITOR,Asus,511.15," 788,80€ ",19,205,3.5,12,2024-12-20,0
P0131,HP PER-889,Periférico,HP,3409.0000000000005,"44,52",54,499,3.0,36,2019-05-17,false
P0108,Dell SOB-223,sobremesa,Dell,1978.08," 2988,20€ ",91,52,5.0,36,2022-01-12,0
P0060,Intel COM-204,Componente,Intel,468.16," 635,81€ ",110,134,3.3,36,2021-06-02,false
P0177,Apple POR-665,Portátil,Apple ,1301.94,"1678,29",52,331,,36,2024-08-12,false
P0194,Microsoft PER-915,PERIFERICO,Microsoft ,92.26,"113,50 €",-12,86,3.7,12,2020-10-06,false
P0056,Intel COM-373,componente,Intel,472.27," 619,44€ ",17,456,,24,2024-04-03,true
P0025,Intel COM-474,componente,Intel ,22980.0,"276,39",2,338,2.8,12,2022-10-16,No
P0152,Razer PER-692,Periferico ,Razer,168.91,"220,70",desconocido,386,3.6,12,2021-06-08,No
P0103,Kingston COM-937,COMPONENTE,Kingston,116.88," 143,97€ ",51,371,2.6,12,2024-10-20,false
P0181,Dell SOB-198,Sobremesa ,Dell,629.1,"861,93",99,352,2.7,24,2021-07-21,false
P0198,Logitech PER-773,periferico,Logitech,135.18,"179,31 €",112,28,3.8,36,2019-10-05,No
P0069,Apple POR-451,PORTÁTIL,Apple ,90980.0,"1227,80",101,265,,12,2021-08-18,0
P0211,Microsoft PER-506,periferico,Microsoft ,69.48,"98,97",77,428,,36,2023-10-06,No
P0202,Intel COM-402,componente,Intel,715.38,"932,22",34,305,4.7,36,2020-10-06,false
P0169,Asus MON-835,Monitor,Asus,362.1," 551,22€ ",100,306,2.6,12,2019-04-27,no
P0186,Asus MON-900,MONITOR,Asus,156.28,"193,80",100,98,4.6,36,2023-11-04,false
P0036,Nvidia COM-516,Componente,Nvidia,588.96,"860,82",93,369,3.8,12,2024-11-23,0
P0130,MSI SOB-224,SOBREMESA,MSI ,1949.03," 2372,13€ ",-98,182,3.3,12,2019-11-07,0
